;response;response_exp;cum.response;cum.response_exp;point.pred;point.pred_exp;point.pred.lower;point.pred.lower_exp;point.pred.upper;point.pred.upper_exp;cum.pred;cum.pred_exp;cum.pred.lower;cum.pred.lower_exp;cum.pred.upper;cum.pred.upper_exp;point.effect;point.effect.lower;point.effect.upper;cum.effect;cum.effect.lower;cum.effect.upper
1;3,761200116;43;3,761200116;43;3,668422168;39,1900218;3,315619323;27,53944453;4,051363562;57,47577539;3,761200116;39;3,761200116;28;3,761200116;57;0,092777947;-0,290163446;0,445580792;0;0;0
2;4,127134385;62;7,888334501;105;4,035187277;56,55351041;3,679357287;39,620921;4,390216125;80,65784925;7,888334501;96;7,888334501;67;7,888334501;138;0,091947108;-0,26308174;0,447777098;0;0;0
3;4,094344562;60;11,98267906;165;4,097147589;60,16841756;3,772148777;43,47337916;4,437211486;84,53887485;11,98267906;156;11,98267906;111;11,98267906;223;-0,002803027;-0,342866924;0,322195785;0;0;0
4;4,356708827;78;16,33938789;243;4,017832711;55,58051613;3,678941727;39,60445957;4,346405027;77,20043;16,33938789;211;16,33938789;150;16,33938789;300;0,338876116;0,0103038;0,677767099;0;0;0
5;4,219507705;68;20,55889559;311;4,102148164;60,47004778;3,77472233;43,58540429;4,417083163;82,85426019;20,55889559;272;20,55889559;194;20,55889559;383;0,117359541;-0,197575458;0,444785375;0;0;0
6;3,912023005;50;24,4709186;361;4,036387207;56,62141141;3,706842284;40,72500526;4,36675998;78,78794317;24,4709186;329;24,4709186;235;24,4709186;462;-0,124364202;-0,454736974;0,205180722;0;0;0
7;4,060443011;58;28,53136161;419;4,080486328;59,17424096;3,724467102;41,44913869;4,398080005;81,29463347;28,53136161;388;28,53136161;276;28,53136161;543;-0,020043318;-0,337636995;0,335975909;0;0;0
8;4,007333185;55;32,5386948;474;4,051995959;57,51213441;3,697858559;40,36078151;4,392373511;80,83204724;32,5386948;445;32,5386948;316;32,5386948;624;-0,044662774;-0,385040326;0,309474626;0;0;0
9;4,605170186;100;37,14386498;574;4,157558133;63,91525935;3,822684508;45,72679765;4,496820598;89,73138511;37,14386498;509;37,14386498;362;37,14386498;713;0,447612053;0,108349588;0,782485678;0;0;0
10;3,931825633;51;41,07569061;625;4,011126834;55,20904694;3,682974569;39,76450057;4,369551709;79,00820506;41,07569061;564;41,07569061;402;41,07569061;792;-0,079301201;-0,437726076;0,248851064;0;0;0
11;4,17438727;65;45,25007788;690;4,15385825;63,67921727;3,825277344;45,84551356;4,478245223;88,07997627;45,25007788;628;45,25007788;448;45,25007788;880;0,02052902;-0,303857953;0,349109926;0;0;0
12;4,234106505;69;49,48418439;759;4,168233287;64,60121942;3,828274089;45,98310694;4,493835806;89,46395495;49,48418439;693;49,48418439;494;49,48418439;970;0,065873218;-0,259729302;0,405832416;0;0;0
13;4,127134385;62;53,61131877;821;4,094885255;60,03245034;3,780482103;43,83717069;4,427194295;83,69626012;53,61131877;753;53,61131877;538;53,61131877;1054;0,03224913;-0,300059909;0,346652282;0;0;0
14;4,143134726;63;57,7544535;884;4,183681042;65,6069111;3,837986087;46,43187045;4,509008234;90,83169005;57,7544535;818;57,7544535;584;57,7544535;1144;-0,040546316;-0,365873508;0,30514864;0;0;0
15;3,891820298;49;61,6462738;933;4,165197882;64,40542585;3,826915103;45,92065901;4,500520418;90,06399001;61,6462738;883;61,6462738;630;61,6462738;1235;-0,273377584;-0,60870012;0,064905195;0;0;0
16;4,204692619;67;65,85096642;1000;4,159659776;64,04972764;3,839732933;46,51305067;4,492082298;89,30721663;65,85096642;947;65,85096642;676;65,85096642;1324;0,045032843;-0,287389679;0,364959687;0;0;0
17;3,828641396;46;69,67960781;1046;4,090835238;59,78980955;3,717292506;41,15282211;4,42211354;83,27209837;69,67960781;1007;69,67960781;718;69,67960781;1407;-0,262193841;-0,593472143;0,111348891;0;0;0
18;3,931825633;51;73,61143345;1097;4,038830747;56,75993726;3,716255012;41,11014847;4,370155768;79,05594512;73,61143345;1063;73,61143345;759;73,61143345;1486;-0,107005114;-0,438330135;0,21557062;0;0;0
19;3,850147602;47;77,46158105;1144;4,045813052;57,15763925;3,701776551;40,51922491;4,374599835;79,40805686;77,46158105;1120;77,46158105;799;77,46158105;1566;-0,19566545;-0,524452233;0,148371051;0;0;0
20;3,891820298;49;81,35340135;1193;3,903131966;49,55741844;3,578565693;35,82212405;4,246987508;69,89453816;81,35340135;1170;81,35340135;835;81,35340135;1635;-0,011311668;-0,35516721;0,313254605;0;0;0
21;3,970291914;53;85,32369326;1246;4,032575541;56,40600029;3,671878923;39,32572649;4,345494517;77,13017025;85,32369326;1226;85,32369326;874;85,32369326;1713;-0,062283628;-0,375202604;0,298412991;0;0;0
22;3,988984047;54;89,31267731;1300;3,988469414;53,97221699;3,65943196;38,83927436;4,326340582;75,66688259;89,31267731;1280;89,31267731;913;89,31267731;1788;0,000514633;-0,337356536;0,329552086;0;0;0
23;4,060443011;58;93,37312032;1358;3,968104846;52,88421207;3,645486893;38,301417;4,325252297;75,58458023;93,37312032;1333;93,37312032;951;93,37312032;1864;0,092338165;-0,264809287;0,414956118;0;0;0
24;3,931825633;51;97,30494595;1409;4,014726234;55,40812447;3,674129681;39,41433887;4,337978518;76,55263306;97,30494595;1389;97,30494595;991;97,30494595;1940;-0,082900601;-0,406152885;0,257695952;0;0;0
25;3,912023005;50;101,216969;1459;4,015753901;55,46509482;3,663457341;38,99593231;4,348995979;77,40071194;101,216969;1444;101,216969;1030;101,216969;2018;-0,103730895;-0,436972973;0,248565664;0;0;0
26;3,891820298;49;105,1087893;1508;3,950380173;51,95511503;3,612856451;37,07179547;4,305596878;74,11343892;105,1087893;1496;105,1087893;1067;105,1087893;2092;-0,058559875;-0,41377658;0,278963847;0;0;0
27;3,828641396;46;108,9374307;1554;3,944745333;51,66317951;3,608750823;36,91990449;4,268659477;71,42582348;108,9374307;1548;108,9374307;1104;108,9374307;2163;-0,116103936;-0,440018081;0,219890574;0;0;0
28;4,127134385;62;113,064565;1616;3,958675663;52,38790074;3,605627161;36,80475913;4,296154421;73,41691957;113,064565;1600;113,064565;1141;113,064565;2237;0,168458722;-0,169020036;0,521507224;0;0;0
29;3,931825633;51;116,9963907;1667;3,884171332;48,62663042;3,571270214;35,56173548;4,237403168;69,22784514;116,9963907;1649;116,9963907;1176;116,9963907;2306;0,047654301;-0,305577535;0,360555419;0;0;0
30;3,951243719;52;120,9476344;1719;4,073552894;58,7653793;3,74978399;42,51189802;4,450681401;85,68531015;120,9476344;1708;120,9476344;1219;120,9476344;2392;-0,122309175;-0,499437682;0,201459728;0;0;0
31;3,891820298;49;124,8394547;1768;3,955967535;52,24621952;3,628548999;37,65813497;4,324043048;75,49323491;124,8394547;1760;124,8394547;1256;124,8394547;2467;-0,064147237;-0,43222275;0,263271299;0;0;0
32;3,80666249;45;128,6461172;1813;3,99338258;54,23804396;3,639423371;38,06987821;4,315971494;74,88633972;128,6461172;1814;128,6461172;1294;128,6461172;2542;-0,18672009;-0,509309004;0,167239119;0;0;0
33;3,931825633;51;132,5779428;1864;3,9612856;52,52480845;3,621639595;37,39883653;4,282043881;72,38824189;132,5779428;1867;132,5779428;1332;132,5779428;2614;-0,029459967;-0,350218249;0,310186038;0;0;0
34;3,871201011;48;136,4491438;1912;3,982354782;53,64320367;3,675731232;39,47751351;4,312393393;74,61886763;136,4491438;1920;136,4491438;1371;136,4491438;2689;-0,111153771;-0,441192382;0,195469779;0;0;0
35;4,127134385;62;140,5762782;1974;3,989619801;54,03434165;3,647362878;38,37333734;4,301076653;73,77918554;140,5762782;1974;140,5762782;1410;140,5762782;2763;0,137514584;-0,173942268;0,479771507;0;0;0
36;3,970291914;53;144,5465701;2027;4,011151383;55,2104023;3,686254478;39,89513866;4,352538112;77,67536172;144,5465701;2029;144,5465701;1450;144,5465701;2841;-0,04085947;-0,382246199;0,284037435;0;0;0
37;3,951243719;52;148,4978138;2079;3,975101442;53,25551899;3,655384316;38,6823845;4,303204499;73,93634342;148,4978138;2083;148,4978138;1488;148,4978138;2914;-0,023857724;-0,35196078;0,295859403;0;0;0
38;4,094344562;60;152,5921584;2139;3,87126534;48,00308788;3,519601464;33,77096685;4,199675337;66,66468396;152,5921584;2131;152,5921584;1522;152,5921584;2981;0,223079223;-0,105330775;0,574743098;0;0;0
39;3,737669618;42;156,329828;2181;4,011735124;55,24264028;3,680885888;39,6815319;4,363221893;78,50967711;156,329828;2186;156,329828;1562;156,329828;3060;-0,274065506;-0,625552274;0,05678373;0;0;0
40;3,850147602;47;160,1799756;2228;3,946389279;51,74818084;3,619441585;37,3167238;4,303888118;73,98690497;160,1799756;2238;160,1799756;1599;160,1799756;3134;-0,096241677;-0,453740516;0,230706016;0;0;0
41;4,094344562;60;164,2743202;2288;4,037746045;56,69840305;3,711378088;40,91014549;4,360109824;78,2657294;164,2743202;2294;164,2743202;1640;164,2743202;3212;0,056598517;-0,265765262;0,382966474;0;0;0
42;4,007333185;55;168,2816534;2343;3,987879045;53,94036285;3,654217477;38,63727473;4,33944648;76,6650919;168,2816534;2348;168,2816534;1679;168,2816534;3289;0,019454141;-0,332113294;0,353115708;0;0;0
43;4,043051268;57;172,3247046;2400;4,039677602;56,80802504;3,703373553;40,58398593;4,339368995;76,65915176;172,3247046;2405;172,3247046;1719;172,3247046;3365;0,003373666;-0,296317727;0,339677714;0;0;0
44;4,094344562;60;176,4190492;2460;4,051681191;57,49403428;3,700542473;40,46925186;4,385644178;80,28992759;176,4190492;2463;176,4190492;1760;176,4190492;3445;0,042663372;-0,291299616;0,39380209;0;0;0
45;3,688879454;40;180,1079286;2500;4,013927557;55,36388891;3,651845486;38,54573606;4,360981978;78,33401892;180,1079286;2518;180,1079286;1798;180,1079286;3524;-0,325048102;-0,672102523;0,037033968;0;0;0
46;4,025351691;56;184,1332803;2556;3,953866769;52,13657769;3,628242563;37,64659694;4,298463529;73,58664303;184,1332803;2570;184,1332803;1836;184,1332803;3597;0,071484921;-0,273111838;0,397109127;0;0;0
47;4,094344562;60;188,2276249;2616;3,92930508;50,8716137;3,609988391;36,96562367;4,265914462;71,23002737;188,2276249;2621;188,2276249;1873;188,2276249;3669;0,165039482;-0,1715699;0,484356171;0;0;0
48;4,077537444;59;192,3051623;2675;3,980695299;53,5542575;3,636071081;37,94247061;4,324149502;75,50127184;192,3051623;2675;192,3051623;1911;192,3051623;3744;0,096842145;-0,246612058;0,441466363;0;0;0
49;4,219507705;68;196,5246701;2743;4,100061337;60,3439888;3,772137432;43,47288594;4,443358226;85,06011369;196,5246701;2735;196,5246701;1954;196,5246701;3829;0,119446368;-0,223850521;0,447370273;0;0;0
50;4,007333185;55;200,5320032;2798;4,03834025;56,7321035;3,690126559;40,04991533;4,375453676;79,47588771;200,5320032;2792;200,5320032;1994;200,5320032;3909;-0,031007065;-0,368120491;0,317206626;0;0;0
51;4,219507705;68;204,7515109;2866;4,053282681;57,58618418;3,710654525;40,8805551;4,384314441;80,18323404;204,7515109;2849;204,7515109;2035;204,7515109;3989;0,166225024;-0,164806736;0,508853181;0;0;0
