codigo_antiguo;codigo_nuevo;codigo_madre;codigo_madre2;codigo_region;region;seremi;perteneciente;TipoEstablecimiento;dependencia;nivel;nombre;codigo_comuna;nombre_comuna;Fecha Vigencia (Desde);codigo_ss_region
01-010;101010;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica);15101;Arica;01-01-2009;1
01-011;101011;01-010;101010;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Servicio de Salud;No Aplica;PRAIS (S.S Arica);15101;Arica;01-01-2009;1
01-012;101012;01-010;101010;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Clínica Dental Móvil;Servicio de Salud;Primario;Clínica Dental Móvil Simple. Pat. PW4076 (Arica);15101;Arica;01-01-2009;1
01-090;101090;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Oficina Sanitaria;Autoridad Sanitaria;No Aplica;Oficina Sanitaria Chacalluta;15101;Arica;01-01-2009;1
01-100;101100;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Regional Dr. Juan Noé Crevanni (Arica);15101;Arica;01-01-2009;1
01-203;101203;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica;Privado;No Aplica;Clínica Hebe;15101;Arica;01-01-2009;15
01-212;101212;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica;Privado;No Aplica;Clínica San Agustín;15101;Arica;01-01-2009;15
01-213;101213;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica;Privado;No Aplica;Clínica San José;15101;Arica;01-01-2009;15
01-215;101215;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Hospital (No perteneciente al SNSS);Otra Institución;No Aplica;Complejo Penitenciario;15101;Arica;01-01-2009;15
01-216;101216;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Servicio Médico Estudiantil U. de Tarapacá;15101;Arica;01-01-2009;15
01-217;101217;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Centro Clínico Militar Arica;15101;Arica;01-01-2009;15
01-219;101219;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico del Trabajador AChS Arica;15101;Arica;01-01-2009;15
01-222;101222;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Instituto Teletón Arica;15101;Arica;01-01-2009;15
01-223;101223;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Médico Monte Sinaí;15101;Arica;01-01-2009;15
01-225;101225;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Integral de Salud;15101;Arica;01-01-2009;15
01-227;101227;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Otra Institución;No Aplica;Policlínico Institucional de Gendarmería de Chile;15101;Arica;01-01-2009;15
01-228;101228;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico del Agricultor;15101;Arica;01-01-2009;15
01-229;101229;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica Dental;Privado;No Aplica;Centro Odontológico Arisa;15101;Arica;22-01-2013;15
01-234;101234;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Arica;15101;Arica;01-01-2009;15
01-236;101236;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica Dental;Privado;No Aplica;Centro Dental Megasalud SpA;15101;Arica;28-04-2016;15
01-237;101237;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Clínica;Privado;No Aplica;Clínica Dr. Héctor Sánchez;15101;Arica;01-01-2009;15
01-239;101239;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Policlínico Médico Dental de Carabineros;15101;Arica;01-01-2009;15
01-240;101240;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico San José Ltda.;15101;Arica;09-09-2011;15
01-241;101241;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Bionet S.A. - Arica;15101;Arica;01-01-2009;15
01-242;101242;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico y Hematológico Diagnotest;15101;Arica;01-01-2009;15
01-243;101243;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Central;15101;Arica;01-01-2009;15
01-244;101244;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico San Martín;15101;Arica;01-01-2009;15
01-245;101245;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Dialab;15101;Arica;01-01-2009;15
01-246;101246;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico del Norte - Labonorte;15101;Arica;18-12-2012;15
01-247;101247;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Chungará;15101;Arica;01-01-2009;15
01-248;101248;;;15;De Arica Parinacota;SEREMI De Arica y Parinacota;No Perteneciente;Laboratorio Clínico o Dental;Privado;No Aplica;Laboratorio Clínico Biolascer;15101;Arica;01-01-2009;15
01-300;101300;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Víctor Bertín Soto;15101;Arica;01-01-2009;1
01-302;101302;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Dr. Amador Neghme de Arica;15101;Arica;01-01-2009;1
01-303;101303;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente);15101;Arica;01-01-2009;1
01-304;101304;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Putre;15201;Putre;01-01-2009;1
01-305;101305;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Remigio Sapunar;15101;Arica;01-01-2009;1
01-306;101306;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Servicio de Salud;Primario;Centro de Salud Ambiental de Arica;15101;Arica;01-01-2009;1
01-307;101307;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);15101;Arica;01-01-2009;1
01-400;101400;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural San Miguel de Azapa;15101;Arica;01-01-2009;1
01-401;101401;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Poconchile;15101;Arica;01-01-2009;1
01-402;101402;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Belén (Putre);15201;Putre;01-01-2009;1
01-404;101404;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Visviri;15202;General Lagos;01-01-2009;1
01-406;101406;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Codpa;15102;Camarones;01-01-2009;1
01-407;101407;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Ticnamar;15201;Putre;01-01-2009;1
01-408;101408;;;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Sobraya;15101;Arica;01-01-2009;1
01-607;101607;01-010;101010;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Servicio de Salud;Secundario;COSAM Norte;15101;Arica;01-01-2009;1
01-608;101608;01-010;101010;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Servicio de Salud;Secundario;ESSMA Sur de Arica;15101;Arica;01-01-2009;1
01-702;101702;01-307;101307;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Dr. Miguel Massa;15101;Arica;01-01-2009;1
01-703;101703;01-302;101302;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Dr. René García Valenzuela;15101;Arica;01-01-2009;1
01-704;101704;01-305;101305;15;De Arica Parinacota;Servicio de Salud Arica;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Cerro La Cruz;15101;Arica;01-01-2009;1
02-010;102010;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);01101;Iquique;01-01-2009;2
02-011;102011;02-010;102010;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;;Servicio de Salud;No Aplica;PRAIS (S.S. Iquique);01101;Iquique;01-01-2009;2
02-012;102012;02-010;102010;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Clínica Dental Móvil;Servicio de Salud;Primario;Clínica Dental Móvil Simple. Pat. RW6740 (Iquique);01101;Iquique;01-01-2009;2
02-100;102100;;;1;De Tarapacá;Servicio de Salud Iquique;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Dr. Ernesto Torres Galdames (Iquique);01101;Iquique;01-01-2009;2
02-200;102200;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Clínica;Privado;No Aplica;Clínica Iquique;01101;Iquique;01-01-2009;1
02-201;102201;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Clínica;Privado;No Aplica;Clínica Tarapacá;01101;Iquique;01-01-2009;1
02-209;102209;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Centro Clínico Militar Iquique;01101;Iquique;01-01-2009;1
02-213;102213;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro Médico y Dental;Privado;No Aplica;Centro Médico y Dental Megasalud Iquique;01101;Iquique;01-01-2009;1
02-216;102216;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Iquique;01101;Iquique;01-01-2009;1
02-217;102217;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Policlínico Naval de Iquique;01101;Iquique;01-01-2009;1
02-218;102218;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Policlínico FACH de Iquique;01101;Iquique;01-01-2009;1
02-219;102219;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Centro de Salud;Público No perteneciente al SNSS;No Aplica;Policlínico Carabineros de Iquique;01101;Iquique;01-01-2009;1
02-220;102220;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Clínica;Privado;No Aplica;Clínica Coposa Cía. Minera Doña Inés de Collahuasi;01405;Pica;01-01-2009;1
02-221;102221;;;1;De Tarapacá;SEREMI De Tarapacá;No Perteneciente;Clínica;Otra Institución;No Aplica;Clínica Establecimiento Penitenciario Alto Hospicio;01107;Alto Hospicio;01-01-2009;1
