="",="comb",="",=""
="",="aic",="bic",="rmse"
="TH-None",="1952.855",="1959.976",="10.38677"
="TH-Cont",="1952.465",="1963.147",="10.35955"
="TH-Fact",="1940.109",="1986.398",="9.932887"
="TH-Cuad",="1954.789",="1965.471",="10.40596"
="TH-SinCos",="1928.415",="1942.657",="9.872893"
="RH-None",="1760.143",="1767.264",="7.170197"
="RH-Cont",="1757.44",="1768.122",="7.119669"
="RH-Fact",="1704.642",="1750.931",="6.315638"
="RH-Cuad",="1761.735",="1772.418",="7.178726"
="RH-SinCos",="1698.717",="1712.96",="6.347534"
="TC-None",="3210.104",="3217.225",="116.5499"
="TC-Cont",="3211.833",="3222.515",="116.7192"
="TC-Fact",="3124.467",="3170.756",="96.87891"
="TC-Cuad",="3211.327",="3222.009",="116.6057"
="TC-SinCos",="3153.142",="3167.385",="104.0673"
="RC-None",="2771.136",="2778.258",="50.10654"
="RC-Cont",="2757.141",="2767.823",="48.6846"
="RC-Fact",="2549.864",="2596.153",="32.08716"
="RC-Cuad",="2771.623",="2782.305",="50.0595"
="RC-SinCos",="2548.325",="2562.568",="32.52239"
="TR-None",="2237.28",="2244.402",="17.94847"
="TR-Cont",="2237.912",="2248.594",="17.93665"
="TR-Fact",="2220.06",="2266.349",="17.0171"
="TR-Cuad",="2237.593",="2248.275",="17.92564"
="TR-SinCos",="2237.414",="2251.657",="17.88607"
="RR-None",="2702.764",="2709.885",="43.93298"
="RR-Cont",="2699.463",="2710.145",="43.57331"
="RR-Fact",="2690.023",="2736.312",="42.01359"
="RR-Cuad",="2703.315",="2713.997",="43.89728"
="RR-SinCos",="2687.864",="2702.107",="42.53267"
