="Panel Estimation: Driscoll-Kraay standard errors"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Trauma Hospitalizations-SinCos",="Respiratory Hospitalizations-Factor",="Trauma Consultations-Factor",="Respiratory Consultations-Factor",="Trauma Hospitalizations per Trauma Consultations(x1000)-Factor",="Respiratory Hospitalizations per Respiratory Consultations(x1000)-Factor"
="",="Coef/CI95_Lo/CI95_Up/p-values",="Coef/CI95_Lo/CI95_Up/p-values",="Coef/CI95_Lo/CI95_Up/p-values",="Coef/CI95_Lo/CI95_Up/p-values",="Coef/CI95_Lo/CI95_Up/p-values",="Coef/CI95_Lo/CI95_Up/p-values"
="Social Protest",="7.50",="0.31",="-116.61",="-52.60",="23.17",="81.19"
="",="0.55",="-3.80",="-180.39",="-83.16",="13.84",="53.15"
="",="14.45",="4.42",="-52.84",="-22.03",="32.49",="109.23"
="",="0.035",="0.880",="0.001",="0.001",="0.000",="0.000"
="N",="259",="259",="259",="259",="259",="259"
="r2_w",="0.14",="0.26",="0.35",="0.64",="0.17",="0.22"
=""
